Dia	Data	TODO!	Anki	Mensagem_Especial	Dia Semana
0	19/10/2025	"• Adjetivos
• Mas porém"	• 15 Cards Tokyo. •  5 min Kanji Deck		Domingo
1	20/10/2025	"• Intervalo de tempo
• Onde...?"	• 15 Cards Tokyo. •  5 min Kanji Deck	Precisamos Separar os documentos para responder o E-mail das escolas o quanto antes.	Segunda-feira
2	21/10/2025	"• Cores
• Advérbios de frequência e transporte"	• 15 Cards Tokyo. •  5 min Kanji Deck		Terça-feira
3	22/10/2025	"• Direções
• Análise de diálogos (Revisão 3)"	• 15 Cards Tokyo. •  5 min Kanji Deck	Precisamos Separar os documentos para responder o E-mail das escolas o quanto antes.	Quarta-feira
4	23/10/2025	• Kanjis Parte I	• 15 Cards Tokyo. •  5 min Kanji Deck		Quinta-feira
5	24/10/2025	"• Números acima de 99
• Dizendo a data"	• 15 Cards Tokyo. •  5 min Kanji Deck	Precisamos Separar os documentos para responder o E-mail das escolas o quanto antes.	Sexta-feira
6	25/10/2025	"• Passado + Negativo
• Como? Por que?"	• 15 Cards Tokyo. •  5 min Kanji Deck		Sábado
7	26/10/2025	"• Onde? Quando?
• Materiais escolares"	• 15 Cards Tokyo. •  5 min Kanji Deck		Domingo
8	27/10/2025	"• Ter/Existir
• Enumerando"	• 15 Cards Tokyo. •  5 min Kanji Deck		Segunda-feira
9	28/10/2025	"• Adjetivos III
• Análise de diálogos (Revisão)"	• 15 Cards Tokyo. •  5 min Kanji Deck		Terça-feira
10	29/10/2025	"• Unidades de Contagem
• Unidades de Contagem II"	• 15 Cards Tokyo. •  5 min Kanji Deck		Quarta-feira
11	30/10/2025	"• Ações
• Fazendo um pedido educado"	• 15 Cards Tokyo. •  5 min Kanji Deck		Quinta-feira
12	31/10/2025	"• Pedindo educadamente
• Expressando desejo"	• 15 Cards Tokyo. •  5 min Kanji Deck		Sexta-feira
13	01/11/2025	"• Expressando desejo II
• Gramática com Te"	• 15 Cards Tokyo. •  5 min Kanji Deck		Sábado
14	02/11/2025	"• Partículas de Consequência
• Análise de diálogos (Revisão 2)"	• 15 Cards Tokyo. •  5 min Kanji Deck		Domingo
15	03/11/2025	"• Ser bom/ruim em algo
• Expressando continuação"	• 15 Cards Tokyo. •  5 min Kanji Deck		Segunda-feira
16	04/11/2025	"• Tempo
• Muito pouco"	• 15 Cards Tokyo. •  5 min Kanji Deck		Terça-feira
17	05/11/2025	"• Preciso Fazer
• Pronomes"	• 15 Cards Tokyo. •  5 min Kanji Deck		Quarta-feira
18	06/11/2025	"• Profissões
• JLPT N5"	• 15 Cards Tokyo. •  5 min Kanji Deck		Quinta-feira
19	07/11/2025	"• Revisão III
• Kanjis Parte II"	• 15 Cards Tokyo. •  5 min Kanji Deck		Sexta-feira
20	08/11/2025	"• Hipótese
• Começar"	• 15 Cards Tokyo. •  5 min Kanji Deck		Sábado
21	09/11/2025	"• Terminação formal
• Curiosidade Cultural"	• 15 Cards Tokyo. •  5 min Kanji Deck		Domingo
22	10/11/2025	"• Parece que...
• Começar II"	• 15 Cards Tokyo. •  5 min Kanji Deck		Segunda-feira
23	11/11/2025	"• Vamos!
• Não é?"	• 15 Cards Tokyo. •  5 min Kanji Deck		Terça-feira
24	12/11/2025	"• Curiosidade Cultural
• Certamente"	• 15 Cards Tokyo. •  5 min Kanji Deck		Quarta-feira
25	13/11/2025	"• Conseguir
• Decidir"	• 15 Cards Tokyo. •  5 min Kanji Deck		Quinta-feira
26	14/11/2025	"• Revisão
• De repente"	• 15 Cards Tokyo. •  5 min Kanji Deck		Sexta-feira
27	15/11/2025	• Kanjis Parte III	• 15 Cards Tokyo. •  5 min Kanji Deck		Sábado
28	16/11/2025	"• Parecido com
• Curiosidade Cultural"	• 15 Cards Tokyo. •  5 min Kanji Deck		Domingo
29	17/11/2025	"• Ao mesmo tempo
• Se..."	• 15 Cards Tokyo. •  5 min Kanji Deck		Segunda-feira
30	18/11/2025	"• Perceber
• Revisão"	• 15 Cards Tokyo. •  5 min Kanji Deck		Terça-feira
31	19/11/2025	"• Difícil
• Curiosidade Cultural"	• 15 Cards Tokyo. •  5 min Kanji Deck	Voucher do JLPT Está disponível no Website! Conferir	Quarta-feira
32	20/11/2025	"• Por favor
• Conseguir"	• 15 Cards Tokyo. •  5 min Kanji Deck		Quinta-feira
33	21/11/2025	"• Ser obrigado a...
• Mesmo assim..."	• 15 Cards Tokyo. •  5 min Kanji Deck	Simulado JLPT Amanhã	Sexta-feira
34	22/11/2025	"• Parece que..
• Curiosidade Cultural"	• 15 Cards Tokyo. •  5 min Kanji Deck	Simulado JLPT Hoje!	Sábado
35	23/11/2025	"• Revisão
• Kanjis Parte IV"	• 15 Cards Tokyo. •  5 min Kanji Deck		Domingo
36	24/11/2025	"• Se...
• Curiosidade Cultural"	• 15 Cards Tokyo. •  5 min Kanji Deck		Segunda-feira
37	25/11/2025	"• Continuação...
• Tentar..."	• 15 Cards Tokyo. •  5 min Kanji Deck		Terça-feira
38	26/11/2025	"• Que bom...
• O Nome..."	• 15 Cards Tokyo. •  5 min Kanji Deck		Quarta-feira
39	27/11/2025	"• Ouvi dizer...
• Continuar..."	• 15 Cards Tokyo. •  5 min Kanji Deck		Quinta-feira
40	28/11/2025	"• Animais!!
• Revisão"	• 15 Cards Tokyo. •  5 min Kanji Deck	Simulado JLPT Amanhã	Sexta-feira
41	29/11/2025	"• Vamos de trem?
• Mesmo assim..."	• 15 Cards Tokyo. •  5 min Kanji Deck	Simulado JLPT Hoje!	Sábado
42	30/11/2025	"• Casa
• Curiosidade Cultural
• Kanjis Parte V"	• 15 Cards Tokyo. •  5 min Kanji Deck		Domingo
43	01/12/2025	"• Vamos ao templo?
• TV Japonesa"	• 15 Cards Tokyo. •  5 min Kanji Deck		Segunda-feira
44	02/12/2025	"• E o Hotel?
• Parece que..."	• 15 Cards Tokyo. •  5 min Kanji Deck		Terça-feira
45	03/12/2025	"• Tentar...
• Acessórios
• Revisão"	• 15 Cards Tokyo. •  5 min Kanji Deck		Quarta-feira
46	04/12/2025	"• Aparência
• De jeito nenhum
• Conteúdo cultural"	• 15 Cards Tokyo. •  5 min Kanji Deck		Quinta-feira
47	05/12/2025	"• Partes do corpo
• Música
• JLPT N4"	• 15 Cards Tokyo. •  5 min Kanji Deck		Sexta-feira
48	06/12/2025	"• Revisão
• Kanjis Parte VI
• Avaliação ao vivo 1"	• 15 Cards Tokyo. •  5 min Kanji Deck	Prova do JLPT Amanhã	Sábado
49	07/12/2025			Prova do JLPT Hoje	Domingo
50	08/12/2025				
51	09/12/2025				
52	10/12/2025				
53	11/12/2025				
54	12/12/2025				
55	13/12/2025				
56	14/12/2025				
57	15/12/2025				
58	16/12/2025				
59	17/12/2025				
60	18/12/2025				
61	19/12/2025				
62	20/12/2025				
63	21/12/2025				
64	22/12/2025				
65	23/12/2025				
66	24/12/2025				
67	25/12/2025				
68	26/12/2025				
69	27/12/2025				
70	28/12/2025				
71	29/12/2025				
72	30/12/2025				
73	31/12/2025				
